machine_unique_id,t_stamp_raw,opn_raw,job_nbr,ignition_run_number_raw,machine_state_nbr,cat_speed,clamp_pressure,die_temp,load_cell,mandrel_position,ram_position,ram_speed,zumbach_od,zumbach_ovality,barrel_temp,insert_date_raw,original_table_name,new_column_added_1
701,2026-01-01 08:00:00,OP101,JOB1001,1,1,0,150.25,340.27,59.1,31.04,0,0,5.013,0.031,351.21,2026-01-01 08:00:00,bnj_ptfe_701_plc,new1
701,2026-01-01 08:00:10,OP101,JOB1001,1,1,2.08,145.98,340.81,60.95,29.89,0.2,2.04,4.965,0.028,350.97,2026-01-01 08:00:10,bnj_ptfe_701_plc,new2
701,2026-01-01 08:00:20,OP101,JOB1001,1,1,4.17,152.53,339.19,59.11,30.51,0.4,4.09,4.985,0.022,352.61,2026-01-01 08:00:20,bnj_ptfe_701_plc,new3
701,2026-01-01 08:00:30,OP101,JOB1001,1,2,6.25,147.45,341.31,62.56,30.78,0.6,6.12,5.037,0.037,351.46,2026-01-01 08:00:30,bnj_ptfe_701_plc,new4
701,2026-01-01 08:00:40,OP101,JOB1001,1,2,8.33,150.76,338.77,61.73,30.76,0.8,8.16,5.018,0.024,350.43,2026-01-01 08:00:40,bnj_ptfe_701_plc,new5
701,2026-01-01 08:00:50,OP101,JOB1001,1,2,10.42,150.97,339.04,60.66,28.77,1,10.21,4.984,0.037,348.15,2026-01-01 08:00:50,bnj_ptfe_701_plc,new6
701,2026-01-01 08:01:00,OP101,JOB1001,1,2,12.5,147.27,339.53,58.1,28.36,1.2,12.25,5.004,0.022,347.5,2026-01-01 08:01:00,bnj_ptfe_701_plc,new7
701,2026-01-01 08:01:10,OP101,JOB1001,1,2,14.58,154.83,341.81,61.55,28.82,1.4,14.29,5.031,0.026,348.47,2026-01-01 08:01:10,bnj_ptfe_701_plc,new8
701,2026-01-01 08:01:20,OP101,JOB1001,1,2,16.67,147.71,338.02,62.95,31.52,1.6,16.34,5.032,0.038,348.29,2026-01-01 08:01:20,bnj_ptfe_701_plc,new9
701,2026-01-01 08:01:30,OP101,JOB1001,1,2,18.75,147.87,341.52,62.07,31.63,1.8,18.38,4.957,0.022,350.47,2026-01-01 08:01:30,bnj_ptfe_701_plc,new10
