machine_unique_id,t_stamp_raw,opn_raw,job_nbr,ignition_run_number_raw,machine_state_nbr,cat_speed,bonnet_speed,clamp_pressure,exhaust_temp,die_temp,load_cell,mandrel_position,ram_position,ram_speed,vap_1_temp,vap_2_temp,sin_1_temp,sin_2_temp,sin_3_temp,sin_4_temp,sin_5_temp,zumbach_od,zumbach_ovality,barrel_temp,insert_date_raw,run_serial,catspeed_setpoint,zumbach_auto,sin_6_temp,ambient_temp,run_number,original_table_name
601,2026-01-01 08:00:00,OP101,JOB1001,,1,-0.29,0,146.38,219.57,340.04,59.45,31.27,0,0,120.81,121.5,372.67,378.78,373.85,375.85,374.56,5.029,0.033,351.14,2026-01-01 08:00:00,RS001,50,1,378.33,24.13,1,csc_ptfe_601_plc
601,2026-01-01 08:00:10,OP101,JOB1001,,1,1.64,2.04,146.44,218.77,339.03,59.08,31.47,0.2,2.08,120.12,122.44,374.67,376.19,372.47,379.67,374.63,5.045,0.025,351.66,2026-01-01 08:00:10,RS001,50,1,373.39,25.57,1,csc_ptfe_601_plc
601,2026-01-01 08:00:20,OP101,JOB1001,,1,3.84,4.09,146.6,219.8,341.76,57.83,29.97,0.4,4.17,120.87,121.33,375.62,373,373.22,374.42,375.28,5.022,0.039,350.84,2026-01-01 08:00:20,RS001,50,1,375.86,24.19,1,csc_ptfe_601_plc
601,2026-01-01 08:00:30,OP101,JOB1001,,2,6.34,6.12,149.43,220.2,340.48,62.45,29.23,0.6,6.25,118.37,120.07,373.79,375.18,372.82,375.32,373.64,4.976,0.034,347.81,2026-01-01 08:00:30,RS001,50,1,376.34,24.68,1,csc_ptfe_601_plc
601,2026-01-01 08:00:40,OP101,JOB1001,,2,7.94,8.16,149.56,219.76,340.09,58.22,31.41,0.8,8.33,118.02,121.45,372.45,376.12,374.81,379.26,375.84,5.019,0.032,352.82,2026-01-01 08:00:40,RS001,50,1,374.46,24.12,1,csc_ptfe_601_plc
601,2026-01-01 08:00:50,OP101,JOB1001,,2,10.56,10.21,151.19,217.07,341.66,58.4,29.02,1,10.42,120.68,120.75,375.49,376.62,374.58,374.74,372.51,5.04,0.024,348.13,2026-01-01 08:00:50,RS001,50,1,375.52,25.67,1,csc_ptfe_601_plc
601,2026-01-01 08:01:00,OP101,JOB1001,,2,13,12.25,146.28,220.24,341.5,59.81,28.42,1.2,12.5,121.31,119.16,377.84,373.77,371.43,377.27,373.53,5.005,0.021,347.69,2026-01-01 08:01:00,RS001,50,1,377.11,24.04,1,csc_ptfe_601_plc
601,2026-01-01 08:01:10,OP101,JOB1001,,2,14.1,14.29,148.29,219.5,338.64,58.11,29.22,1.4,14.58,121.01,121.07,374.47,377.62,376.03,379.89,372.35,4.993,0.026,350.28,2026-01-01 08:01:10,RS001,50,1,377.93,24.81,1,csc_ptfe_601_plc
601,2026-01-01 08:01:20,OP101,JOB1001,,2,16.91,16.34,146.8,221.56,340.68,58.85,28.67,1.6,16.67,119.77,120.16,376.14,377.61,376.52,375.49,374.05,5.049,0.02,347.51,2026-01-01 08:01:20,RS001,50,1,378.9,25.35,1,csc_ptfe_601_plc
601,2026-01-01 08:01:30,OP101,JOB1001,,2,18.69,18.38,150.84,219.4,339.9,59.68,29.52,1.8,18.75,120.33,122.24,377.01,374.19,371.89,375.27,373.14,4.964,0.033,347.18,2026-01-01 08:01:30,RS001,50,1,378.65,24.3,1,csc_ptfe_601_plc
601,2026-01-01 08:01:40,OP101,JOB1001,,2,21.08,20.41,152.17,222.49,339.14,58.24,31.8,2,20.83,121.59,121.03,377.56,374.43,372.92,378.47,376.46,5.037,0.022,351.87,2026-01-01 08:01:40,RS001,50,1,378.28,25.83,1,csc_ptfe_601_plc
601,2026-01-01 08:01:50,OP101,JOB1001,,2,23.31,22.46,152.31,221.77,338.46,62.38,28.05,2.2,22.92,118.02,119.99,374.88,377.86,371.55,377.75,374.47,5.021,0.04,347.8,2026-01-01 08:01:50,RS001,50,1,373.49,24.25,1,csc_ptfe_601_plc
