machine_unique_id,t_stamp_raw,opn_raw,job_nbr,ignition_run_number_raw,machine_state_nbr,cat_speed,bonnet_speed,clamp_pressure,exhaust_temp,die_temp,load_cell,mandrel_position,ram_position,ram_speed,vap_1_temp,vap_2_temp,sin_1_temp,sin_2_temp,sin_3_temp,sin_4_temp,sin_5_temp,zumbach_od,zumbach_ovality,barrel_temp,insert_date_raw,run_serial,catspeed_setpoint,zumbach_auto,sin_6_temp,sin_7_temp,zumbach_type,zumbach_id,zumbach_wall,zumbach_concentricity,vap_3_temp,vap_4_temp,vap_5_temp,ambient_temp,run_number,original_table_name
701,2026-01-01 08:00:00,OP101,JOB3001,,1,0,0,154.38,217.94,341.09,61.81,31.36,0,0,121.33,119.2,374.69,376.86,374.64,376.99,377.18,5.03,0.035,349.78,2026-01-01 08:00:00,RS001,50,1,375.7,375.34,TYPE_A,1237,0.566,0.985,121.33,122.94,123.72,24.82,1,ire_ptfe_701_plc
701,2026-01-01 08:00:10,OP101,JOB3001,,1,2.08,2.02,146.53,218.46,338.76,57.38,31.77,0.2,2.04,118.06,122.35,377.49,377.52,372.84,376.66,375.89,5.033,0.021,349.82,2026-01-01 08:00:10,RS001,50,1,373.43,374.71,TYPE_A,1706,0.563,0.998,122.04,122.07,124.21,25.23,1,ire_ptfe_701_plc
701,2026-01-01 08:00:20,OP101,JOB3001,,1,4.17,4.04,154.14,219.36,339.3,58.09,28.2,0.4,4.09,121.34,122.09,372.49,377.45,372.8,376.31,377.72,4.975,0.024,349.15,2026-01-01 08:00:20,RS001,50,1,376.27,377.51,TYPE_A,1756,0.509,0.947,121.94,123.45,124.96,24.32,1,ire_ptfe_701_plc
701,2026-01-01 08:00:30,OP101,JOB3001,,2,6.25,6.06,145.59,218.1,338.1,58.05,30.82,0.6,6.12,118.57,120.83,377.52,374.99,375.75,378.88,375.44,5.012,0.036,348.32,2026-01-01 08:00:30,RS001,50,1,376.29,377.1,TYPE_A,1333,0.569,0.928,120.03,124.85,123.36,24.98,1,ire_ptfe_701_plc
701,2026-01-01 08:00:40,OP101,JOB3001,,2,8.33,8.08,146.59,218.78,341.7,59.51,29.21,0.8,8.16,120.82,120.52,372.41,375.87,376.16,374.13,375.66,5.043,0.032,350.68,2026-01-01 08:00:40,RS001,50,1,377.63,378.66,TYPE_B,1511,0.576,0.931,122.2,121.77,123.54,25.28,1,ire_ptfe_701_plc
701,2026-01-01 08:00:50,OP101,JOB3001,,2,10.42,10.11,146.07,218.61,340.7,62.04,30.61,1,10.21,118.76,119.12,373.54,377.58,376.94,375.02,373.35,5.028,0.033,349.13,2026-01-01 08:00:50,RS001,50,1,378.36,377.53,TYPE_B,1836,0.538,0.984,122.98,123.92,123.22,24.7,1,ire_ptfe_701_plc
701,2026-01-01 08:01:00,OP101,JOB3001,,2,12.5,12.12,145.22,220.79,340.42,62.3,29.11,1.2,12.25,121.94,122.37,374.67,376.96,373.94,377.19,375.72,5.048,0.037,347.63,2026-01-01 08:01:00,RS001,50,1,376.29,378.53,TYPE_B,1811,0.423,0.945,120.28,121.04,124.53,24.5,1,ire_ptfe_701_plc
701,2026-01-01 08:01:10,OP101,JOB3001,,2,14.58,14.14,146.56,219,338.35,58.37,29.04,1.4,14.29,120.4,120.68,372.28,374.14,371.24,375.45,372.97,4.959,0.035,351.6,2026-01-01 08:01:10,RS001,50,1,373.21,375.55,TYPE_B,1237,0.554,0.987,121.51,121.46,124.43,24.19,1,ire_ptfe_701_plc
701,2026-01-01 08:01:20,OP101,JOB3001,,2,16.67,16.17,152.1,221.91,338.44,58.29,29.76,1.6,16.34,121.7,122.29,374.36,374.31,373.07,379.52,372.21,4.994,0.038,351.94,2026-01-01 08:01:20,RS001,50,1,375.95,378.47,TYPE_B,1633,0.465,0.991,122.92,121.07,125.8,24.3,1,ire_ptfe_701_plc
701,2026-01-01 08:01:30,OP101,JOB3001,,2,18.75,18.19,149.24,221.54,340.15,62.47,28.18,1.8,18.38,120.33,121.03,374.03,373.67,376.58,377.9,373.55,4.973,0.038,347.4,2026-01-01 08:01:30,RS001,50,1,378.78,375.28,TYPE_A,1975,0.455,0.903,120.48,122.27,125.54,24.86,1,ire_ptfe_701_plc
