order_id,customer_id,order_amount,order_status,order_created_at
1,49,3019.85,CANCELLED,2026-06-06 16:32:30
2,33,4858.28,PENDING,2026-06-08 21:32:30
3,88,4435.46,DELIVERED,2026-06-07 16:32:30
4,15,1538.15,SHIPPED,2026-06-07 01:32:30
5,1,4773.7,DELIVERED,2026-06-06 19:32:30
6,98,975.39,PENDING,2026-06-07 21:32:30
7,82,2587.55,SHIPPED,2026-06-08 16:32:30
8,48,3836.3,PENDING,2026-06-07 18:32:30
9,63,195.44,DELIVERED,2026-06-07 20:32:30
10,31,383.83,PENDING,2026-06-09 01:32:30
11,94,2481.35,PENDING,2026-06-06 15:32:30
12,99,716.23,CANCELLED,2026-06-06 13:32:30
13,22,1398.78,CANCELLED,2026-06-08 08:32:30
14,70,3800.8,SHIPPED,2026-06-07 20:32:30
15,52,4976.23,DELIVERED,2026-06-07 03:32:30
16,67,2312.28,SHIPPED,2026-06-08 07:32:30
17,9,1756.62,SHIPPED,2026-06-08 07:32:30
18,1,447.87,PENDING,2026-06-08 06:32:30
19,9,4536.56,DELIVERED,2026-06-09 02:32:30
20,66,1266.22,CANCELLED,2026-06-08 08:32:30
21,70,748.33,CANCELLED,2026-06-08 04:32:30
22,61,4056.74,SHIPPED,2026-06-08 23:32:30
23,13,3329.02,DELIVERED,2026-06-07 05:32:30
24,53,2388.42,PENDING,2026-06-08 23:32:30
25,8,2072.84,DELIVERED,2026-06-08 22:32:30
26,32,1038.79,CANCELLED,2026-06-08 18:32:30
27,55,999.09,CANCELLED,2026-06-08 04:32:30
28,10,2271.34,PENDING,2026-06-09 05:32:30
29,84,4996.48,PENDING,2026-06-09 00:32:30
30,97,4258.61,SHIPPED,2026-06-07 07:32:30
31,63,2458.66,CANCELLED,2026-06-09 04:32:30
32,22,1956.97,CANCELLED,2026-06-08 02:32:30
33,59,1497.72,CANCELLED,2026-06-08 16:32:30
34,25,1553.87,PENDING,2026-06-06 14:32:30
35,8,3765.08,PENDING,2026-06-09 05:32:30
36,75,2436.26,SHIPPED,2026-06-09 04:32:30
37,66,492.55,SHIPPED,2026-06-09 03:32:30
38,77,433.01,SHIPPED,2026-06-07 08:32:30
39,16,4713.82,SHIPPED,2026-06-09 06:32:30
40,80,501.72,DELIVERED,2026-06-08 02:32:30
41,27,3381.66,DELIVERED,2026-06-08 05:32:30
42,34,2039.35,DELIVERED,2026-06-07 01:32:30
43,41,4652.19,PENDING,2026-06-09 10:32:30
44,59,3143.68,PENDING,2026-06-09 02:32:30
45,69,1144.46,DELIVERED,2026-06-08 19:32:30
46,45,4416.23,SHIPPED,2026-06-07 12:32:30
47,37,872.96,DELIVERED,2026-06-06 16:32:30
48,2,3372.53,DELIVERED,2026-06-08 22:32:30
49,18,1395.88,PENDING,2026-06-06 13:32:30
50,20,1434.51,SHIPPED,2026-06-07 16:32:30
51,27,3468.74,DELIVERED,2026-06-06 19:32:30
52,63,1330.49,PENDING,2026-06-09 00:32:30
53,82,2175.52,DELIVERED,2026-06-09 06:32:30
54,1,1734.43,SHIPPED,2026-06-08 02:32:30
55,21,3732.03,CANCELLED,2026-06-06 12:32:30
56,2,648.18,SHIPPED,2026-06-06 14:32:30
57,5,4189.52,SHIPPED,2026-06-07 04:32:30
58,17,304.96,DELIVERED,2026-06-09 06:32:30
59,46,1129.38,SHIPPED,2026-06-08 22:32:30
60,46,3922.57,CANCELLED,2026-06-08 16:32:30
61,31,4336.57,SHIPPED,2026-06-07 07:32:30
62,4,978.87,DELIVERED,2026-06-07 07:32:30
63,86,4333.91,SHIPPED,2026-06-08 01:32:30
64,21,3958.14,PENDING,2026-06-07 11:32:30
65,5,4307.11,SHIPPED,2026-06-08 10:32:30
66,59,1813.33,SHIPPED,2026-06-08 07:32:30
67,4,3334.16,CANCELLED,2026-06-07 17:32:30
68,36,4335.33,DELIVERED,2026-06-07 15:32:30
69,83,2596.09,DELIVERED,2026-06-09 08:32:30
70,15,4397.49,DELIVERED,2026-06-08 13:32:30
71,75,4816.42,DELIVERED,2026-06-09 07:32:30
72,14,3023.2,DELIVERED,2026-06-07 19:32:30
73,56,3070.42,PENDING,2026-06-07 10:32:30
74,74,1031.39,PENDING,2026-06-07 04:32:30
75,1,2647.61,SHIPPED,2026-06-07 13:32:30
76,56,442.87,DELIVERED,2026-06-07 19:32:30
77,85,4255.27,DELIVERED,2026-06-06 19:32:30
78,40,3367.78,DELIVERED,2026-06-07 08:32:30
79,90,1548.71,SHIPPED,2026-06-08 11:32:30
80,54,3358.15,CANCELLED,2026-06-08 13:32:30
81,79,2888.62,CANCELLED,2026-06-06 13:32:30
82,1,1588.99,SHIPPED,2026-06-07 04:32:30
83,75,3072.64,DELIVERED,2026-06-07 00:32:30
84,57,2266.58,SHIPPED,2026-06-06 18:32:30
85,61,3989.3,SHIPPED,2026-06-09 01:32:30
86,37,2625.71,DELIVERED,2026-06-09 00:32:30
87,97,1250.86,DELIVERED,2026-06-08 07:32:30
88,26,822.03,PENDING,2026-06-08 04:32:30
89,61,3095.24,PENDING,2026-06-07 01:32:30
90,54,4442.07,SHIPPED,2026-06-07 10:32:30
91,64,2058.3,SHIPPED,2026-06-09 11:32:30
92,97,4316.16,PENDING,2026-06-07 05:32:30
93,29,961.84,CANCELLED,2026-06-09 05:32:30
94,72,1321.07,PENDING,2026-06-07 01:32:30
95,18,4026.94,DELIVERED,2026-06-07 03:32:30
96,79,4093.53,CANCELLED,2026-06-06 13:32:30
97,58,4496.32,CANCELLED,2026-06-07 02:32:30
98,34,3783.71,DELIVERED,2026-06-06 17:32:30
99,63,3171.07,DELIVERED,2026-06-07 03:32:30
100,10,3596.37,SHIPPED,2026-06-08 01:32:30
